r,Moskva,Judo,Judo Men's Open Class,NA
134028,Jorge Zarif Neto,M,26,190,93,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,NA
134028,Jorge Zarif Neto,M,31,190,93,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed One Person Dinghy,NA
134029,Leonidas Theodoros "Leon" Zarifis,M,21,NA,NA,Greece,GRE,1906 Summer,1906,Summer,Athina,Tennis,Tennis Men's Singles,NA
134030,Nikolaos Zarifis,M,20,NA,NA,Greece,GRE,1906 Summer,1906,Summer,Athina,Tennis,Tennis Men's Singles,NA
134030,Nikolaos Zarifis,M,20,NA,NA,Greece-4,GRE,1906 Summer,1906,Summer,Athina,Tennis,Tennis Mixed Doubles,NA
134030,Nikolaos Zarifis,M,20,NA,NA,Greece-2,GRE,1906 Summer,1906,Summer,Athina,Tennis,Tennis Men's Doubles,NA
134031,Hamzeh Zarini,M,30,198,91,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
134032,Danis Zinnurovich Zaripov,M,28,185,84,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
134033,Amina Vasilovna Zaripova (-Kortneva),F,19,176,52,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,NA
134034,"Yuliya Mikhaylovna Zaripova (Ivanova-, -Zarudneva-)",F,26,175,70,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 3,000 metres Steeplechase",Gold
134035,Vasilios Zarkadis,M,NA,NA,NA,Thessalonki-1,GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Bronze
134035,Vasilios Zarkadis,M,NA,NA,NA,Greece,GRE,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Individual",NA
134035,Vasilios Zarkadis,M,NA,NA,NA,Greece,GRE,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Individual",NA
134036,Malkhaz Zarkua,M,26,169,60,Georgia,GEO,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Freestyle",NA
134037,Marina Zarma,F,18,NA,NA,Cyprus,CYP,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Freestyle,NA
134037,Marina Zarma,F,18,NA,NA,Cyprus,CYP,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,NA
134038,Bizhan Zarnegar,M,24,172,64,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Foil, Individual",NA
134038,Bizhan Zarnegar,M,24,172,64,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Foil, Team",NA
134038,Bizhan Zarnegar,M,24,172,64,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",NA
134038,Bizhan Zarnegar,M,24,172,64,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",NA
134038,Bizhan Zarnegar,M,24,172,64,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Individual",NA
134038,Bizhan Zarnegar,M,24,172,64,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Team",NA
134039,Esfandihar Zarnegar,M,34,182,78,Iran,IRI,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Individual",NA
134039,Esfandihar Zarnegar,M,34,182,78,Iran,IRI,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Men's epee, Team",NA
134040,Shahpour Zarnegar,M,35,171,68,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Foil, Team",NA
134040,Shahpour Zarnegar,M,35,171,68,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",NA
134040,Shahpour Zarnegar,M,35,171,68,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",NA
134040,Shahpour Zarnegar,M,35,171,68,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's Sabre, Team",NA
134041,John Zarno,M,33,183,80,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",NA
134041,John Zarno,M,33,183,80,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",NA
134042,Anita Rosa Zarnowiecki (-Mieczkovicz),F,18,162,52,Sweden,SWE,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
134042,Anita Rosa Zarnowiecki (-Mieczkovicz),F,18,162,52,Sweden,SWE,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Individual Medley,NA
134042,Anita Rosa Zarnowiecki (-Mieczkovicz),F,18,162,52,Sweden,SWE,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 400 metres Individual Medley,NA
134042,Anita Rosa Zarnowiecki (-Mieczkovicz),F,18,162,52,Sweden,SWE,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
134043,Bernt Lennart Zarnowiecki,M,18,176,68,Sweden,SWE,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Freestyle,NA
134044,Zbigniew Stanisaw arnowiecki,M,25,185,77,Poland,POL,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxless Fours,NA
134045,Oleksandr Zarovniy,M,22,185,70,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,NA
134045,Oleksandr Zarovniy,M,22,185,70,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,NA
134045,Oleksandr Zarovniy,M,22,185,70,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
134045,Oleksandr Zarovniy,M,22,185,70,Ukraine,UKR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,41,NA,NA,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134046,ngel Zrraga Argelles,M,45,NA,NA,Mexico,MEX,1932 Summer,1932,Summer,Los Angeles,Art Competitions,Art Competitions Mixed Unknown Event,NA
134047,Bruno Zarrillo,M,25,181,77,Italy,ITA,1992 Winter,1992,Winter,Albertville,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
134047,Bruno Zarrillo,M,27,181,77,Italy,ITA,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
134047,Bruno Zarrillo,M,31,181,77,Italy,ITA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
134048,Hussain Zarrini,M,26,NA,60,Iran,IRI,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,NA
134049,Mbarek Zarrougui,M,22,166,51,Morocco,MAR,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Flyweight,NA
134050,Mongi Soussi Zarrouki,M,24,172,66,Tunisia,TUN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres Hurdles,NA
134051,Jerzy Zaruba,M,36,NA,NA,Poland,POL,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Paintings",NA
134052,Radek Zruba,M,21,191,83,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",NA
134052,Radek Zruba,M,21,191,83,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
134053,Roman Zarubin,M,23,190,89,Russia,RUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",NA
